E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30a,E30b
1.2000E-08,2.2200E+01,3.5100E+01,2.1400E+01,3.7500E+01,2.8500E+01,7.0920E-01,7.4740E-01,7.5790E-01,2.2880E-01,-4.9040E-01,-3.9700E-01,-4.0290E-01,-7.8040E-01,-1.6100E-02,-1.0280E-01,-1.0450E-01,1.1295E+00,1.3000E-01,2.1500E+00,1.3000E-01,1.1000E-01,4.7874E+00,7.3742E-01,1.2080E+00,4.1000E-01,6.8900E+00,5.2328E-01,7.3175E-01,1.0793E-01,5.0000E-01
1.2000E-08,2.2200E+01,3.5100E+01,2.1400E+01,3.7600E+01,2.9250E+01,7.0930E-01,7.4760E-01,7.5810E-01,2.3180E-01,-4.9000E-01,-3.9670E-01,-4.0240E-01,-7.8040E-01,-1.6500E-02,-1.0310E-01,-1.0460E-01,1.1216E+00,1.7000E-01,2.1200E+00,3.0000E-02,2.3000E-01,4.7874E+00,5.5862E-01,1.0324E+00,4.3000E-01,6.9700E+00,4.9181E-01,7.2378E-01,7.8000E-02,4.0083E-01
1.2000E-08,2.2200E+01,3.5100E+01,2.1400E+01,3.7800E+01,2.9750E+01,7.0880E-01,7.4700E-01,7.5760E-01,2.3210E-01,-4.9010E-01,-3.9680E-01,-4.0230E-01,-7.8040E-01,-1.6300E-02,-1.0290E-01,-1.0430E-01,1.1019E+00,1.3000E-01,2.1200E+00,3.0000E-02,2.5000E-01,4.7874E+00,4.1251E-01,8.8883E-01,4.3000E-01,6.6700E+00,4.9181E-01,7.6291E-01,4.1522E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5100E+01,2.1400E+01,3.7700E+01,3.0250E+01,7.0930E-01,7.4740E-01,7.5800E-01,2.2960E-01,-4.8990E-01,-3.9690E-01,-4.0260E-01,-7.8040E-01,-1.6600E-02,-1.0320E-01,-1.0460E-01,1.1260E+00,1.3000E-01,2.1200E+00,4.0000E-02,2.6000E-01,7.2963E+00,2.9623E-01,7.7444E-01,4.4000E-01,6.7000E+00,4.7735E-01,7.7644E-01,3.9833E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5100E+01,2.1400E+01,3.7700E+01,3.0750E+01,7.0920E-01,7.4690E-01,7.5780E-01,2.3610E-01,-4.9030E-01,-3.9700E-01,-4.0250E-01,-7.3500E-01,-1.6100E-02,-1.0290E-01,-1.0450E-01,1.0773E+00,1.7000E-01,2.1400E+00,1.1000E-01,2.6000E-01,7.3963E+00,2.0693E-01,6.8645E-01,3.8000E-01,6.8200E+00,4.3241E-01,7.9713E-01,4.4468E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5100E+01,2.1500E+01,3.7800E+01,3.1000E+01,7.0940E-01,7.4740E-01,7.5810E-01,2.3700E-01,-4.9020E-01,-3.9710E-01,-4.0270E-01,-7.3530E-01,-1.6300E-02,-1.0270E-01,-1.0460E-01,1.0586E+00,1.3000E-01,2.1500E+00,1.3000E-01,2.3000E-01,7.4687E+00,1.4175E-01,6.2204E-01,4.3000E-01,6.8300E+00,4.9181E-01,7.9272E-01,4.0851E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5200E+01,2.1500E+01,3.7800E+01,3.1500E+01,7.1010E-01,7.4810E-01,7.5880E-01,2.3610E-01,-4.9060E-01,-3.9730E-01,-4.0270E-01,-7.3530E-01,-1.6400E-02,-1.0260E-01,-1.0430E-01,1.1117E+00,1.3000E-01,2.1500E+00,1.2000E-01,2.4000E-01,7.1421E+00,9.7820E-02,5.7844E-01,4.3000E-01,6.7900E+00,4.9181E-01,7.8393E-01,4.2195E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5200E+01,2.1500E+01,3.7900E+01,3.1750E+01,7.1030E-01,7.4830E-01,7.5850E-01,2.3650E-01,-4.9020E-01,-3.9700E-01,-4.0270E-01,-7.3700E-01,-1.6200E-02,-1.0290E-01,-1.0440E-01,1.0997E+00,1.3000E-01,2.1200E+00,1.0000E-01,2.6000E-01,7.1259E+00,7.2291E-02,5.5284E-01,4.2000E-01,6.7200E+00,5.0710E-01,7.8837E-01,4.0682E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5200E+01,2.1500E+01,3.7900E+01,3.2000E+01,7.0970E-01,7.4780E-01,7.5850E-01,2.3710E-01,-4.9060E-01,-3.9720E-01,-4.0280E-01,-7.3540E-01,-1.6700E-02,-1.0170E-01,-1.0440E-01,1.0810E+00,1.3000E-01,2.1400E+00,1.2000E-01,2.3000E-01,7.1210E+00,6.2303E-02,5.4245E-01,3.9000E-01,6.5800E+00,4.6365E-01,8.5217E-01,4.0455E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5300E+01,2.1500E+01,3.7900E+01,3.2250E+01,7.1000E-01,7.4810E-01,7.5830E-01,2.3600E-01,-4.9050E-01,-3.9720E-01,-4.0300E-01,-7.3540E-01,-1.5900E-02,-1.0280E-01,-1.0450E-01,1.1106E+00,1.3000E-01,2.1500E+00,1.0000E-01,2.5000E-01,7.1238E+00,6.4996E-02,5.4447E-01,4.1000E-01,6.5900E+00,5.2328E-01,8.2332E-01,4.1875E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5300E+01,2.1500E+01,3.8000E+01,3.2500E+01,7.1010E-01,7.4790E-01,7.5860E-01,2.3660E-01,-4.9090E-01,-3.9720E-01,-4.0300E-01,-7.3560E-01,-1.6000E-02,-1.0300E-01,-1.0450E-01,1.0845E+00,1.3000E-01,2.1500E+00,1.3000E-01,2.5000E-01,7.1210E+00,7.7512E-02,5.5611E-01,4.1000E-01,6.5800E+00,5.2328E-01,8.2489E-01,4.0870E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5400E+01,2.1500E+01,3.8000E+01,3.2500E+01,7.1030E-01,7.4850E-01,7.5880E-01,2.3660E-01,-4.9070E-01,-3.9730E-01,-4.0290E-01,-7.3810E-01,-1.6300E-02,-1.0340E-01,-1.0470E-01,1.1021E+00,1.3000E-01,2.1200E+00,3.0000E-02,2.5000E-01,7.1215E+00,9.3241E-02,5.7362E-01,4.1000E-01,6.6000E+00,5.2328E-01,8.2175E-01,4.0000E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5400E+01,2.1500E+01,3.8000E+01,3.2750E+01,7.1010E-01,7.4850E-01,7.5860E-01,2.3630E-01,-4.9080E-01,-3.9720E-01,-4.0310E-01,-7.3940E-01,-1.6200E-02,-1.0310E-01,-1.0480E-01,1.1034E+00,1.3000E-01,2.1200E+00,9.0000E-02,2.5000E-01,7.1235E+00,1.3545E-01,6.1439E-01,4.1000E-01,6.5900E+00,5.6931E-01,8.2029E-01,3.9167E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5600E+01,2.1500E+01,3.8100E+01,3.3000E+01,7.0970E-01,7.4810E-01,7.5830E-01,2.3620E-01,-4.9070E-01,-3.9710E-01,-4.0250E-01,-7.4640E-01,-1.6000E-02,-1.0330E-01,-1.0470E-01,1.1077E+00,1.3000E-01,2.1400E+00,1.1000E-01,2.5000E-01,7.1217E+00,1.3434E-01,6.1110E-01,3.6000E-01,6.5500E+00,5.6673E-01,8.2660E-01,3.6500E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5600E+01,2.1600E+01,3.8100E+01,3.3000E+01,7.0940E-01,7.4750E-01,7.5760E-01,2.3710E-01,-4.9010E-01,-3.9700E-01,-4.0260E-01,-7.3500E-01,-1.7200E-02,-1.0300E-01,-1.0450E-01,1.0759E+00,1.3000E-01,2.1200E+00,9.0000E-02,2.5000E-01,7.1180E+00,1.3110E-01,6.0942E-01,3.8000E-01,6.5700E+00,6.2880E-01,8.4772E-01,3.3200E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5700E+01,2.1600E+01,3.8100E+01,3.3250E+01,7.0970E-01,7.4800E-01,7.5820E-01,2.3660E-01,-4.9060E-01,-3.9710E-01,-4.0290E-01,-7.3580E-01,-1.6000E-02,-1.0300E-01,-1.0440E-01,1.0958E+00,1.3000E-01,2.1500E+00,1.3000E-01,2.5000E-01,7.1235E+00,1.3547E-01,6.0834E-01,4.0000E-01,6.6300E+00,5.8800E-01,8.5016E-01,3.4783E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5700E+01,2.1600E+01,3.8100E+01,3.3250E+01,7.0960E-01,7.4790E-01,7.5830E-01,2.3610E-01,-4.9070E-01,-3.9720E-01,-4.0280E-01,-7.5550E-01,-1.6100E-02,-1.0320E-01,-1.0440E-01,1.1103E+00,1.3000E-01,2.1400E+00,2.7000E-01,2.5000E-01,7.1282E+00,1.3547E-01,6.0810E-01,3.7000E-01,6.7300E+00,6.5108E-01,8.4328E-01,3.5306E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5700E+01,2.1600E+01,3.8200E+01,3.3500E+01,7.0990E-01,7.4760E-01,7.5840E-01,2.3640E-01,-4.9030E-01,-3.9700E-01,-4.0300E-01,-7.4740E-01,-1.6200E-02,-1.0260E-01,-1.0440E-01,1.1081E+00,1.3000E-01,2.1500E+00,7.0000E-02,2.4000E-01,7.1321E+00,1.3515E-01,6.0761E-01,3.8000E-01,6.5600E+00,6.2880E-01,8.6753E-01,3.6250E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1600E+01,3.8200E+01,3.3500E+01,7.1020E-01,7.4810E-01,7.5860E-01,2.3640E-01,-4.9080E-01,-3.9740E-01,-4.0300E-01,-7.5130E-01,-1.6000E-02,-1.0300E-01,-1.0410E-01,1.1098E+00,1.3000E-01,2.1400E+00,6.0000E-02,2.4000E-01,7.1380E+00,1.3543E-01,6.0788E-01,3.7000E-01,6.5500E+00,7.0449E-01,8.6917E-01,3.5417E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1600E+01,3.8200E+01,3.3500E+01,7.1000E-01,7.4790E-01,7.5830E-01,2.3710E-01,-4.9050E-01,-3.9750E-01,-4.0280E-01,-7.3560E-01,-1.6200E-02,-1.0300E-01,-1.0460E-01,1.0871E+00,1.3000E-01,2.1200E+00,9.0000E-02,2.5000E-01,7.1313E+00,1.3965E-01,6.0878E-01,3.8000E-01,6.5900E+00,6.2880E-01,8.4148E-01,3.2692E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1600E+01,3.8300E+01,3.3500E+01,7.1010E-01,7.4800E-01,7.5860E-01,2.3620E-01,-4.9080E-01,-3.9730E-01,-4.0270E-01,-7.4740E-01,-1.6400E-02,-1.0300E-01,-1.0450E-01,1.1087E+00,1.3000E-01,2.1500E+00,1.3000E-01,2.5000E-01,7.1203E+00,1.4331E-01,6.0985E-01,3.8000E-01,6.5600E+00,6.2880E-01,8.3414E-01,3.3400E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1600E+01,3.8300E+01,3.3500E+01,7.0940E-01,7.4770E-01,7.5790E-01,2.3570E-01,-4.9040E-01,-3.9720E-01,-4.0250E-01,-7.5210E-01,-1.5900E-02,-1.0300E-01,-1.0460E-01,1.1101E+00,1.3000E-01,2.1200E+00,9.0000E-02,2.5000E-01,7.1145E+00,1.4683E-01,6.1047E-01,3.8000E-01,6.5100E+00,6.2880E-01,8.2685E-01,3.4118E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1600E+01,3.8300E+01,3.3750E+01,7.0960E-01,7.4770E-01,7.5820E-01,2.3650E-01,-4.9060E-01,-3.9720E-01,-4.0290E-01,-7.3580E-01,-1.5900E-02,-1.0280E-01,-1.0460E-01,1.0911E+00,1.3000E-01,2.1400E+00,1.1000E-01,2.6000E-01,7.0976E+00,1.5079E-01,6.1099E-01,3.6000E-01,6.6200E+00,5.6673E-01,8.5778E-01,3.4130E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1700E+01,3.8400E+01,3.3750E+01,7.1000E-01,7.4800E-01,7.5860E-01,2.3760E-01,-4.9080E-01,-3.9720E-01,-4.0310E-01,-7.3540E-01,-1.6000E-02,-1.0290E-01,-1.0450E-01,1.0612E+00,1.3000E-01,2.1400E+00,1.9000E-01,2.5000E-01,7.0990E+00,1.5505E-01,6.1175E-01,3.9000E-01,6.7400E+00,6.0780E-01,8.2988E-01,3.4200E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5700E+01,2.1600E+01,3.8400E+01,3.4000E+01,7.1010E-01,7.4820E-01,7.5870E-01,2.3720E-01,-4.9080E-01,-3.9730E-01,-4.0300E-01,-7.3570E-01,-1.6300E-02,-1.0320E-01,-1.0440E-01,1.0816E+00,1.3000E-01,2.1500E+00,1.2000E-01,2.4000E-01,7.1010E+00,1.5949E-01,6.1268E-01,3.7000E-01,6.6000E+00,6.5108E-01,8.1569E-01,3.3800E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5700E+01,2.1700E+01,3.8500E+01,3.3750E+01,7.0980E-01,7.4820E-01,7.5860E-01,2.3640E-01,-4.9070E-01,-3.9750E-01,-4.0310E-01,-7.3810E-01,-1.3600E-02,-1.0130E-01,-1.0280E-01,1.1037E+00,1.3000E-01,2.1500E+00,2.7000E-01,2.6000E-01,7.1108E+00,1.6398E-01,6.1315E-01,3.8000E-01,6.6000E+00,6.2880E-01,8.6101E-01,3.4681E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5700E+01,2.1700E+01,3.8500E+01,3.3750E+01,7.1000E-01,7.4800E-01,7.5850E-01,2.3610E-01,-4.9080E-01,-3.9750E-01,-4.0290E-01,-7.3810E-01,-1.4200E-02,-1.0150E-01,-1.0290E-01,1.1121E+00,1.3000E-01,2.1400E+00,1.2000E-01,2.4000E-01,7.1243E+00,1.6837E-01,6.1363E-01,3.8000E-01,6.7600E+00,6.2880E-01,8.2089E-01,3.2857E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1700E+01,3.8400E+01,3.4000E+01,7.0990E-01,7.4810E-01,7.5860E-01,2.3730E-01,-4.9080E-01,-3.9710E-01,-4.0270E-01,-7.3540E-01,-1.4700E-02,-1.0190E-01,-1.0290E-01,1.0778E+00,1.3000E-01,2.1200E+00,1.0000E-01,2.5000E-01,7.1381E+00,1.7096E-01,6.1379E-01,3.9000E-01,6.6900E+00,6.0780E-01,8.0184E-01,3.2857E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1700E+01,3.8500E+01,3.3750E+01,7.0950E-01,7.4760E-01,7.5790E-01,2.3600E-01,-4.9080E-01,-3.9700E-01,-4.0290E-01,-7.3570E-01,-1.4300E-02,-1.0250E-01,-1.0370E-01,1.0918E+00,1.3000E-01,2.1300E+00,1.1000E-01,2.5000E-01,7.1533E+00,1.7263E-01,6.1413E-01,3.9000E-01,6.6200E+00,6.0780E-01,8.0956E-01,3.2642E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1700E+01,3.8500E+01,3.3750E+01,7.0970E-01,7.4780E-01,7.5820E-01,2.3640E-01,-4.9050E-01,-3.9720E-01,-4.0280E-01,-7.3560E-01,-1.5600E-02,-1.0260E-01,-1.0360E-01,1.0912E+00,1.3000E-01,2.1400E+00,1.1000E-01,2.5000E-01,7.1549E+00,1.7869E-01,6.1400E-01,3.8000E-01,6.5900E+00,5.7790E-01,8.4148E-01,3.2400E-02,3.6061E-01
1.2000E-08,2.2200E+01,3.5800E+01,2.1700E+01,3.8500E+01,3.4000E+01,7.0980E-01,7.4780E-01,7.5800E-01,2.3800E-01,-4.9040E-01,-3.9700E-01,-4.0240E-01,-7.3480E-01,-1.3500E-02,-1.0190E-01,-1.0310E-01,1.0426E+00,1.3000E-01,2.1400E+00,2.2000E-01,2.5000E-01,7.1529E+00,1.8412E-01,6.1422E-01,3.8000E-01,6.7000E+00,6.2880E-01,8.0629E-01,3.3265E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.5800E+01,2.1700E+01,3.8500E+01,3.4000E+01,7.0950E-01,7.4740E-01,7.5800E-01,2.3700E-01,-4.9030E-01,-3.9690E-01,-4.0250E-01,-7.3470E-01,-1.5700E-02,-1.0310E-01,-1.0440E-01,1.0726E+00,1.3000E-01,2.1400E+00,1.2000E-01,2.5000E-01,7.1515E+00,1.8782E-01,6.1548E-01,3.8000E-01,6.6600E+00,6.2880E-01,8.0341E-01,3.1633E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.5900E+01,2.1700E+01,3.8500E+01,3.4000E+01,7.0950E-01,7.4750E-01,7.5830E-01,2.3600E-01,-4.9040E-01,-3.9720E-01,-4.0250E-01,-7.3470E-01,-1.6100E-02,-1.0310E-01,-1.0100E-01,1.1100E+00,1.3000E-01,2.1400E+00,7.0000E-02,2.5000E-01,7.1258E+00,1.8821E-01,6.1611E-01,3.9000E-01,6.6700E+00,6.0780E-01,8.0189E-01,3.4400E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.5900E+01,2.1700E+01,3.8500E+01,3.4000E+01,7.0920E-01,7.4760E-01,7.5780E-01,2.3700E-01,-4.9030E-01,-3.9720E-01,-4.0290E-01,-7.3520E-01,-1.6200E-02,-1.0270E-01,-1.0440E-01,1.0687E+00,1.3000E-01,2.1400E+00,7.0000E-02,2.5000E-01,7.1090E+00,1.9083E-01,6.1683E-01,4.0000E-01,6.6100E+00,5.8800E-01,8.3528E-01,3.3409E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6000E+01,2.1700E+01,3.8600E+01,3.4000E+01,7.0920E-01,7.4730E-01,7.5760E-01,2.3600E-01,-4.9070E-01,-3.9740E-01,-4.0300E-01,-7.4080E-01,-1.7000E-02,-1.0370E-01,-1.0520E-01,1.1045E+00,1.3000E-01,2.1400E+00,1.1000E-01,2.5000E-01,7.0847E+00,1.9605E-01,6.1850E-01,4.0000E-01,6.8200E+00,5.8800E-01,7.9126E-01,3.3673E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6000E+01,2.1700E+01,3.8600E+01,3.4000E+01,7.0970E-01,7.4760E-01,7.5800E-01,2.3670E-01,-4.9050E-01,-3.9710E-01,-4.0310E-01,-7.3560E-01,-1.3300E-02,-1.0120E-01,-1.0330E-01,1.0912E+00,1.3000E-01,2.1400E+00,1.7000E-01,2.5000E-01,7.0767E+00,1.9843E-01,6.1998E-01,3.9000E-01,6.5800E+00,6.0780E-01,8.1275E-01,3.3778E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6000E+01,2.1700E+01,3.8600E+01,3.4000E+01,7.0970E-01,7.4800E-01,7.5840E-01,2.3620E-01,-4.9070E-01,-3.9720E-01,-4.0270E-01,-7.4160E-01,-1.6200E-02,-1.0220E-01,-1.0360E-01,1.1059E+00,1.3000E-01,2.1400E+00,1.2000E-01,2.5000E-01,7.0700E+00,2.0032E-01,6.2123E-01,3.9000E-01,6.6800E+00,6.0780E-01,8.0336E-01,3.4082E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6100E+01,2.1700E+01,3.8600E+01,3.4000E+01,7.0940E-01,7.4770E-01,7.5810E-01,2.3680E-01,-4.9050E-01,-3.9710E-01,-4.0290E-01,-7.3530E-01,-1.5500E-02,-1.0220E-01,-1.0350E-01,1.0839E+00,1.3000E-01,2.1200E+00,9.0000E-02,2.5000E-01,7.0577E+00,2.0310E-01,6.2265E-01,3.6000E-01,6.6700E+00,6.7474E-01,8.0489E-01,3.3750E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6100E+01,2.1700E+01,3.8700E+01,3.4250E+01,7.0980E-01,7.4820E-01,7.5810E-01,2.3640E-01,-4.9050E-01,-3.9720E-01,-4.0270E-01,-7.3860E-01,-1.3700E-02,-1.0240E-01,-1.0380E-01,1.1036E+00,1.3000E-01,2.1400E+00,2.2000E-01,2.2000E-01,7.0692E+00,2.0244E-01,6.2469E-01,3.9000E-01,6.6500E+00,6.0780E-01,8.1096E-01,3.4651E-02,3.6061E-01
